temperature,humidity,windSpeed,windDirection,location,pollen,precipitation,recordDateandTime,email
-8.58994244638032,12.21,39,N,West Sergioside,Moderate,1.7123493071933449,2024-11-06T12:53:46,josephle@example.net
-8.175788080143736,34.03,19,S,Cervantesfurt,Low,36.86702188127133,2024-11-21T22:59:41,glovermary@example.com
14.474467006427211,41.18,4,N,Russellmouth,Moderate,36.99481792264562,2024-11-03T15:51:48,edwardbrown@example.org
28.09222610152458,10.82,16,E,Ryanhaven,Low,46.10994272542173,2024-11-16T06:26:30,karenhurley@example.net
26.737858047352468,46.66,40,N,Port Alicia,Moderate,45.145376193080075,2024-11-16T22:53:19,yramirez@example.net
-20.616267151104505,45.81,40,N,Ambershire,Low,5.494397057832812,2024-11-14T08:27:55,lori08@example.com
30.990014725217293,94.95,66,E,Port Robertville,High,46.662083486084185,2024-11-09T21:23:37,davidsalazar@example.org
-1.8180089175672194,14.22,96,N,Crystalport,Low,20.718295825562915,2024-11-03T06:15:38,victor46@example.org
-14.122446078236488,85.02,70,E,Wyattborough,Low,35.65344064420341,2024-11-15T18:36:36,yrivera@example.org
-8.988471929525083,28.13,70,S,North Michelle,Moderate,44.12378800485864,2024-11-17T15:24:56,leedarin@example.net
32.328955364511394,12.64,61,N,Michelestad,High,15.779964282156362,2024-11-18T23:18:07,mendezcorey@example.org
-29.527764847528776,98.94,80,E,Lake Melissafort,Low,44.598372609588196,2024-11-20T03:38:05,rrangel@example.com
28.52761698328498,82.16,90,E,Port Edwardhaven,High,13.282585764219501,2024-11-17T16:30:21,eayala@example.com
14.6485751507687,62.07,46,E,North Thomasberg,Low,39.585767373836596,2024-11-05T07:40:57,bakerbrian@example.com
38.700372363968526,12.27,69,W,Port Deniseberg,High,21.28950756462416,2024-11-01T04:29:04,kimberly41@example.com
8.48422362816914,14.40,96,S,Joshuastad,Low,15.0006081071273,2024-11-06T21:20:42,monica77@example.org
13.726692595341632,42.25,17,W,Andrewton,High,29.65227962130409,2024-11-15T14:19:32,clementselizabeth@example.com
16.312032677316886,45.37,46,E,East Carlos,High,25.21425649056369,2024-11-13T18:37:34,ibrown@example.net
38.875111237767356,44.25,21,S,South Melissa,Moderate,40.04973030172134,2024-11-21T23:19:29,oallen@example.com
-4.952808724499622,94.14,92,S,West Nicholas,Moderate,0.40402547184454907,2024-11-12T14:16:21,hriley@example.com
31.100323707758456,16.52,23,S,Port Brianland,Moderate,39.029150834663696,2024-11-22T18:17:15,kevinmiranda@example.net
-1.8851791878651305,93.86,77,S,Hallborough,Moderate,47.65055990696198,2024-11-12T14:28:11,zporter@example.net
-11.819139685897298,10.75,86,N,North Seanton,Low,8.214591477288074,2024-11-21T21:14:55,jenniferkim@example.com
22.256925859964404,96.49,99,S,West Brandy,Low,13.796831614642112,2024-11-02T16:32:47,ellisonjoseph@example.org
